model_type,params,r2_score,training_time,combination_id,learning_rate,batch_size,epochs,hidden_sizes,dropout_rate
mlp,"{'hidden_sizes': [512, 256, 128, 64], 'dropout_rate': 0.3, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100}",0.8696438475864805,7.307983636856079,0,0.01,32,100,"[512, 256, 128, 64]",0.3
mlp,"{'hidden_sizes': [256, 128, 64], 'dropout_rate': 0.3, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100}",0.8635431605480555,3.909074544906616,23,0.01,64,100,"[256, 128, 64]",0.3
mlp,"{'hidden_sizes': [512, 256, 128, 64], 'dropout_rate': 0.4, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100}",0.8627855375751027,3.8468689918518066,13,0.01,64,100,"[512, 256, 128, 64]",0.4
mlp,"{'hidden_sizes': [512, 256, 128, 64], 'dropout_rate': 0.4, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100}",0.8620658773307351,4.226691007614136,4,0.01,64,100,"[512, 256, 128, 64]",0.4
mlp,"{'hidden_sizes': [128, 64], 'dropout_rate': 0.1, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100}",0.8611371687021921,2.792233467102051,2,0.01,64,100,"[128, 64]",0.1
mlp,"{'hidden_sizes': [512, 256, 128, 64], 'dropout_rate': 0.3, 'learning_rate': 0.01, 'batch_size': 128, 'epochs': 100}",0.8604439158799315,1.6320664882659912,16,0.01,128,100,"[512, 256, 128, 64]",0.3
mlp,"{'hidden_sizes': [512, 256, 128], 'dropout_rate': 0.3, 'learning_rate': 0.01, 'batch_size': 128, 'epochs': 50}",0.8591546550043039,1.7330787181854248,8,0.01,128,50,"[512, 256, 128]",0.3
mlp,"{'hidden_sizes': [256, 128, 64, 32], 'dropout_rate': 0.3, 'learning_rate': 0.01, 'batch_size': 128, 'epochs': 50}",0.8586476342149639,1.8264427185058594,29,0.01,128,50,"[256, 128, 64, 32]",0.3
mlp,"{'hidden_sizes': [256, 128, 64, 32], 'dropout_rate': 0.3, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 50}",0.8577988934300211,3.273801565170288,12,0.01,64,50,"[256, 128, 64, 32]",0.3
mlp,"{'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 30}",0.8569994881444669,1.5381791591644287,22,0.01,64,30,"[128, 64]",0.3
mlp,"{'hidden_sizes': [512, 256, 128], 'dropout_rate': 0.4, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100}",0.8564918149630565,8.553903102874756,5,0.001,32,100,"[512, 256, 128]",0.4
mlp,"{'hidden_sizes': [512, 256, 128, 64], 'dropout_rate': 0.3, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100}",0.855269210498383,10.027199268341064,20,0.001,32,100,"[512, 256, 128, 64]",0.3
mlp,"{'hidden_sizes': [256, 128, 64, 32], 'dropout_rate': 0.4, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 50}",0.8527856882537375,3.421668529510498,3,0.01,64,50,"[256, 128, 64, 32]",0.4
mlp,"{'hidden_sizes': [256, 128, 64], 'dropout_rate': 0.1, 'learning_rate': 0.01, 'batch_size': 128, 'epochs': 50}",0.8522042928111269,1.4763641357421875,24,0.01,128,50,"[256, 128, 64]",0.1
mlp,"{'hidden_sizes': [256, 128, 64, 32], 'dropout_rate': 0.4, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100}",0.8458158206105686,6.3517022132873535,14,0.001,32,100,"[256, 128, 64, 32]",0.4
mlp,"{'hidden_sizes': [256, 128, 64, 32], 'dropout_rate': 0.4, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 30}",0.822038213599483,1.946897268295288,10,0.001,64,30,"[256, 128, 64, 32]",0.4
mlp,"{'hidden_sizes': [128, 64], 'dropout_rate': 0.4, 'learning_rate': 0.001, 'batch_size': 128, 'epochs': 30}",0.7219905052508557,0.9139313697814941,1,0.001,128,30,"[128, 64]",0.4
mlp,"{'hidden_sizes': [256, 128, 64, 32], 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100}",0.5684167632326003,12.189520835876465,11,0.0001,32,100,"[256, 128, 64, 32]",0.3
mlp,"{'hidden_sizes': [256, 128, 64, 32], 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100}",0.5480949002144225,19.550843954086304,19,0.0001,32,100,"[256, 128, 64, 32]",0.4
mlp,"{'hidden_sizes': [256, 128, 64, 32], 'dropout_rate': 0.1, 'learning_rate': 0.001, 'batch_size': 128, 'epochs': 30}",0.4798638340747805,1.1637842655181885,9,0.001,128,30,"[256, 128, 64, 32]",0.1
mlp,"{'hidden_sizes': [128, 64], 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100}",0.23781582568661108,5.499811887741089,26,0.0001,64,100,"[128, 64]",0.1
mlp,"{'hidden_sizes': [256, 128, 64], 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100}",0.2295489970512533,6.0390565395355225,21,0.0001,64,100,"[256, 128, 64]",0.2
mlp,"{'hidden_sizes': [512, 256, 128, 64], 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 50}",0.20303067146869758,6.440398216247559,28,0.0001,32,50,"[512, 256, 128, 64]",0.2
mlp,"{'hidden_sizes': [512, 256, 128], 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 30}",0.15640365684487467,3.2393929958343506,18,0.0001,32,30,"[512, 256, 128]",0.1
mlp,"{'hidden_sizes': [128, 64], 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 50}",-0.9277826593205096,2.532608985900879,15,0.0001,64,50,"[128, 64]",0.4
mlp,"{'hidden_sizes': [512, 256, 128], 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 128, 'epochs': 50}",-1.0616081365437573,1.817521333694458,27,0.0001,128,50,"[512, 256, 128]",0.4
mlp,"{'hidden_sizes': [256, 128, 64], 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'batch_size': 128, 'epochs': 50}",-1.5432731124256547,1.7317211627960205,25,0.0001,128,50,"[256, 128, 64]",0.3
mlp,"{'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 128, 'epochs': 50}",-1.545960562554718,1.6130383014678955,6,0.0001,128,50,"[128, 64]",0.2
mlp,"{'hidden_sizes': [256, 128, 64, 32], 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'batch_size': 128, 'epochs': 50}",-1.7892339682174598,1.899303674697876,17,0.0001,128,50,"[256, 128, 64, 32]",0.3
mlp,"{'hidden_sizes': [256, 128, 64], 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'batch_size': 128, 'epochs': 30}",-1.794543222405411,1.0855607986450195,7,0.0001,128,30,"[256, 128, 64]",0.3
